matrix_size,iteration_norm,error_delta_normed,duration,error_time
10,0.1,0.154845745271,0.000397,390.039660633
10,0.2,0.367544467966,0.000284,1294.17066185
10,0.3,0.5,0.000292,1712.32876712
10,0.4,1.0,0.000316,3164.55696203
50,0.02,0.0215078904198,0.000441,48.7707265756
50,0.04,0.0339082169207,0.000486,69.769993664
50,0.06,0.018019493938,0.000573,31.4476333997
50,0.08,0.0250039569564,0.000461,54.2385183437
50,0.1,0.0330124431695,0.000465,70.9945014399
50,0.12,0.0234224538196,0.000456,51.3650303062
50,0.14,0.0295632051413,0.000477,61.9773692691
50,0.16,0.0367580513981,0.000513,71.6531216337
50,0.18,0.029604891466,0.000551,53.7293856008
50,0.2,0.0360479577163,0.000728,49.5164254344
50,0.22,0.0438171125325,0.000875,50.0767000371
50,0.24,0.0382307969164,0.000921,41.5100943718
50,0.26,0.0461080197895,0.000711,64.8495355689
50,0.28,0.0560248367087,0.000747,74.9997814038
50,0.3,0.0522932161538,0.00086,60.8060652951
50,0.32,0.0638970891009,0.000867,73.6990647069
50,0.34,0.0796420133832,0.000885,89.9909755742
50,0.36,0.0806316868425,0.000927,86.9813234547
50,0.38,0.103999496982,0.000958,108.558973885
50,0.4,0.141604924721,0.001013,139.787684818
50,0.42,0.170843802411,0.001067,160.116028502
50,0.44,0.282259437435,0.001247,226.350791848
50,0.46,1.0,0.001208,827.814569536
100,0.01,0.0103629739652,0.000634,16.3453848032
100,0.02,0.0159161353667,0.000502,31.7054489377
100,0.03,0.00818567656344,0.000485,16.877683636
100,0.04,0.0111114559839,0.000579,19.1907702659
100,0.05,0.0142254758671,0.00056,25.402635477
100,0.06,0.00973733028112,0.000612,15.910670394
100,0.07,0.0119288563164,0.000653,18.2677738383
100,0.08,0.0142718838197,0.000715,19.9606766709
100,0.09,0.0109979777574,0.00065,16.9199657806
100,0.1,0.0128622717327,0.000678,18.9709022606
100,0.11,0.0148645761731,0.000924,16.0872036505
100,0.12,0.0122370346709,0.000784,15.6084625905
100,0.13,0.0139476844634,0.001066,13.0841317668
100,0.14,0.0157942447532,0.000845,18.6914139091
100,0.15,0.0135724985148,0.000864,15.7089103181
100,0.16,0.0152293161613,0.001013,15.0338757762
100,0.17,0.0170280948909,0.001011,16.8428238288
100,0.18,0.0150908250253,0.001081,13.9600601529
100,0.19,0.0167676555206,0.001096,15.298955767
100,0.2,0.0186005078741,0.001154,16.1182910521
100,0.21,0.0168835993928,0.001212,13.9303625353
100,0.22,0.0186496554006,0.001245,14.9796428921
100,0.23,0.0205957862512,0.001256,16.3979189898
100,0.24,0.0190707353625,0.001309,14.5689345779
100,0.25,0.0210058421007,0.001376,15.2658736197
100,0.26,0.0231597533527,0.002844,8.14337319013
100,0.27,0.0218291653202,0.001592,13.7117872614
100,0.28,0.0240419774613,0.001674,14.3619937045
100,0.29,0.0265366351561,0.001713,15.4913223328
100,0.3,0.0254432979296,0.001716,14.8270966956
100,0.31,0.0281026891325,0.001783,15.7614633385
100,0.32,0.0311518866888,0.001874,16.6232052768
100,0.33,0.0304103101483,0.001939,15.6835018815
100,0.34,0.0338126447007,0.001971,17.1550708781
100,0.35,0.0378066598968,0.002018,18.734717491
100,0.36,0.0376926151387,0.002101,17.9403213416
100,0.37,0.0424338626767,0.002398,17.6955223839
100,0.38,0.0481999448688,0.003532,13.6466435076
100,0.39,0.0494362574917,0.002388,20.7019503734
